entry_id,title_zh_en,public_link_label,public_url
17,"SIUE 家族相册：诊所、女生与传教人员 / SIUE family albums: dispensary, students and mission personnel","Jones-Good albums","https://chinamiddlekingdom.siue.edu/omeka-s/s/westchinamissions/item-set/1917"
17,"SIUE 家族相册：诊所、女生与传教人员 / SIUE family albums: dispensary, students and mission personnel","JGFA_009","https://chinamiddlekingdom.siue.edu/omeka-s/s/westchinamissions/item/1926"
17,"SIUE 家族相册：诊所、女生与传教人员 / SIUE family albums: dispensary, students and mission personnel","Simpson-Estabrook albums","https://chinamiddlekingdom.siue.edu/omeka-s/s/westchinamissions/item-set/1513"
17,"SIUE 家族相册：诊所、女生与传教人员 / SIUE family albums: dispensary, students and mission personnel","SEFA_007","https://chinamiddlekingdom.siue.edu/omeka-s/s/westchinamissions/item/1522"
18,"Victoria University 的1914年前泸州全景及家族图像 / Pre-1914 Luchow panorama and family-image collections","Vic in China / university exhibit","https://library.vicu.utoronto.ca/exhibitions/vic_in_china/"
19,"加拿大联合教会档案的泸州照片、医院与财产档案 / United Church of Canada: image and property files","UCC Sichuan catalogue","https://catalogue.unitedchurcharchives.ca/sichuan-province"
19,"加拿大联合教会档案的泸州照片、医院与财产档案 / United Church of Canada: image and property files","UCC catalogue root","https://catalogue.unitedchurcharchives.ca/"
20,"George J. Bond 及1913年新教传教分布图 / Bond's illustrated survey and the 1913 Protestant mission diagram","Bond 1909 / Canadiana","https://www.canadiana.ca/view/oocihm.71446/238"
20,"George J. Bond 及1913年新教传教分布图 / Bond's illustrated survey and the 1913 Protestant mission diagram","1913 Luchow mission diagram","https://commons.wikimedia.org/wiki/File:Survey_of_Luchow_Protestant_Missions,_published_in_1913.png"
21,"1893年 Upcraft 关于烟馆的同期转述 / William M. Upcraft's 1893 opium-den claim","*Missionary Review*, June 1893, pp.450–451","https://cafis.org/files/MRW-1893-6.pdf"
22,"《华西教会新闻》作为连续地方史料 / *West China Missionary News* as a serial local corpus","Online Books serial guide","https://onlinebooks.library.upenn.edu/webbin/serial?id=westchimisnews"
23,"1924年泸州北路52日巡行 / E. G. Toyne's 1924 northern-circuit itinerary","WCMN February 1924 PDF","https://upload.wikimedia.org/wikipedia/commons/b/b8/The_West_China_Missionary_News_%28February_1924%29.pdf"
24,"1926年 Olsen 对泸州教区的密集报告 / Fawcett Olsen's 1926 Luchow district report","WCMN March 1926 PDF","https://upload.wikimedia.org/wikipedia/commons/7/75/The_West_China_Missionary_News_%28March_1926%29.pdf"
25,"1927—1928年军队占用、学校迁占与建筑拆用 / Military occupation and institutional property, 1927–28","WCMN September 1928","https://upload.wikimedia.org/wikipedia/commons/d/d4/The_West_China_Missionary_News_%28September_1928%29.pdf"
25,"1927—1928年军队占用、学校迁占与建筑拆用 / Military occupation and institutional property, 1927–28","May 1928","https://upload.wikimedia.org/wikipedia/commons/a/ac/The_West_China_Missionary_News_%28May_1928%29.pdf"
25,"1927—1928年军队占用、学校迁占与建筑拆用 / Military occupation and institutional property, 1927–28","March 1928","https://upload.wikimedia.org/wikipedia/commons/1/19/The_West_China_Missionary_News_%28March_1928%29.pdf"
26,"1933年佛教庙会、学校出游与治安 / The 1933 Buddhist fair, school excursions and public security","WCMN June 1932","https://upload.wikimedia.org/wikipedia/commons/7/75/The_West_China_Missionary_News_%28June_1932%29.pdf"
26,"1933年佛教庙会、学校出游与治安 / The 1933 Buddhist fair, school excursions and public security","June 1933","https://upload.wikimedia.org/wikipedia/commons/9/98/The_West_China_Missionary_News_%28June_1933%29.pdf"
27,"1934年街道、旱情、鸦片与钱币信息 / Streets, weather, opium and currency in 1934","June 1934 PDF","https://upload.wikimedia.org/wikipedia/commons/4/47/The_West_China_Missionary_News_(June_1934).pdf"
27,"1934年街道、旱情、鸦片与钱币信息 / Streets, weather, opium and currency in 1934","November 1934 PDF","https://upload.wikimedia.org/wikipedia/commons/5/5a/The_West_China_Missionary_News_%28November_1934%29.pdf"
28,"1909年英国鸦片调查与泸州上游问卷 / British Foreign Office opium inquiry and local returns","Cd.4967 (1909) / public bibliographic locator","https://search.worldcat.org/search?q=%22Cd.+4967%22+opium+1909"
29,"卡内基地磁考察的1916—1917年泸州停泊记录 / Carnegie geomagnetic field observation at Luchow","Carnegie official publications / no.175, vol.IV","https://carnegiescience.edu/about/history/publications/monographs"
29,"卡内基地磁考察的1916—1917年泸州停泊记录 / Carnegie geomagnetic field observation at Luchow","Magnetic observations 1914–1920 / open scan","https://upload.wikimedia.org/wikipedia/commons/d/d9/Carnegie_Institution_of_Washington_publication_%28IA_carnegieinstitut17504carn%29.pdf"
30,"孙中山交通规划中的泸州与1939年美方战时公路报告 / Luzhou in development planning and 1939 U.S. road reporting","FRUS 1939 road report","https://history.state.gov/historicaldocuments/frus1939v03/d709"
30,"孙中山交通规划中的泸州与1939年美方战时公路报告 / Luzhou in development planning and 1939 U.S. road reporting","FRUS December telegram","https://history.state.gov/historicaldocuments/frus1939v03/d685"
31,"Geil 1904年的四幅泸州道路与城市图像 / William Edgar Geil's 1904 visual sequence","Geil 1904 / digitized book","https://archive.org/details/yankeeonyangtzeb00geil"
32,"Smithsonian 的 Graham 底片第575号 / David Crockett Graham Papers, negative no. 575","SIA RU 7148 finding aid","https://siarchives.si.edu/collections/siris_arc_217305"
32,"Smithsonian 的 Graham 底片第575号 / David Crockett Graham Papers, negative no. 575","Diary no.9","https://siarchives.si.edu/collections/fbr_item_modsi2155"
33,"Dye 记录的泸州寺庙窗棂 / Daniel Sheets Dye's Buddhist-temple lattice","MIT Tiling Search D02A","https://tilingsearch.mit.edu/HTML/data23/D02A.html"
34,"`Old Luchow` 石器发现与1934年博物馆新藏品 / Early stone-artefact collecting and a 1934 museum acquisition","West China Border Research Society vol.II, 1924–25","https://commons.wikimedia.org/wiki/File:Journal_of_the_West_China_Border_Research_Society_(1924-25;_vol._II).pdf"
35,"Bristol 的1922及1937年泸州学校影像 / Bristol's 1922 and 1937 Luchow/Luhsien photographs","Bristol HP China","https://hpcbristol.net/"
35,"Bristol 的1922及1937年泸州学校影像 / Bristol's 1922 and 1937 Luchow/Luhsien photographs","GV02-21","https://hpcbristol.net/visual/GV02-21"
36,"1931年石马场农事集会 / The 1931 Shi Ma Chang rural-extension meeting","WCMN March 1932","https://upload.wikimedia.org/wikipedia/commons/a/a6/The_West_China_Missionary_News_%28March_1932%29.pdf"
37,"Price 1936—1937年73处农村教会调查中的石马场 / Shihmachang in Frank Wilson Price's 1936–37 sample survey","Price 1948 digital edition","https://archive.org/download/MN41761ucmf_3/MN41761ucmf_3.pdf"
37,"Price 1936—1937年73处农村教会调查中的石马场 / Shihmachang in Frank Wilson Price's 1936–37 sample survey","Marshall Price finding aid","https://www.marshallfoundation.org/wp-content/uploads/2014/06/Price_Frank_Wilson.pdf"
38,"1939年四川教会全省调查及约1944年复查线索 / The 1939 Szechwan-wide church survey and later comparison","Price 1948","https://archive.org/download/MN41761ucmf_3/MN41761ucmf_3.pdf"
38,"1939年四川教会全省调查及约1944年复查线索 / The 1939 Szechwan-wide church survey and later comparison","Yale United Board microfilm guide","https://divinity-adhoc.library.yale.edu/Website/SpecialCollections/RG11microfilm.pdf"
38,"1939年四川教会全省调查及约1944年复查线索 / The 1939 Szechwan-wide church survey and later comparison","WCMN June 1939 rural pastors course","https://upload.wikimedia.org/wikipedia/commons/d/d1/The_West_China_Missionary_News_%28June_1939%29.pdf"
39,"UCC 1939年轰炸报告及10月5日毁坏地图 / The 1939 bombing dossier and devastation map","UCC catalogue","https://catalogue.unitedchurcharchives.ca/"
40,"Gerald S. Bell 1939年10月对毁坏区的报道 / Gerald S. Bell's October 1939 damage account","WCMN October 1939 PDF","https://upload.wikimedia.org/wikipedia/commons/1/1a/The_West_China_Missionary_News_%28October_1939%29.pdf"
41,"Hoffman 1940年泸州救济委员会自述 / A. C. Hoffmann's 1940 relief-committee report","WCMN June 1940 PDF","https://upload.wikimedia.org/wikipedia/commons/2/25/The_West_China_Missionary_News_%28June_1940%29.pdf"
