"id","group","title_zh","title_en","date","status","description","link_label","public_url"
"12","齐尔与《自由哲学》 / Gille and translation","齐尔论中国思想的遗著","Gille, La pensée chinoise et son rôle dans la grande synthèse humaine","published by 1951-02","B","A contemporaneous 1951 announcement fixes posthumous publication, not the date of composition or Hu’s possible influence.","Ruta, 25 Feb. 1951","https://ddd.uab.cat/pub/ppc/ruta/ruta_a1951m2d25n283.pdf"
"12","齐尔与《自由哲学》 / Gille and translation","齐尔论中国思想的遗著","Gille, La pensée chinoise et son rôle dans la grande synthèse humaine","published by 1951-02","B","A contemporaneous 1951 announcement fixes posthumous publication, not the date of composition or Hu’s possible influence.","CIRA bibliographic bulletin","https://www.cira.ch/bulletins/004.pdf"
"13","齐尔与《自由哲学》 / Gille and translation","密歇根大学Paul Gille Papers","University of Michigan Gille archive","1879–1939","B","Correspondence and manuscript fragments survive in one box. The public finding aid does not explicitly identify a Hu file.","Finding aid","https://findingaids.lib.umich.edu/catalog/umich-scl-ams0283"
"14","中国社会学 / Chinese sociology","《社会现象的研究》","Shehui xianxiang de yanjiu","1930","B","Original journal article identified in the reconstructed contents of 社会学刊 1(4).","Periodical reconstruction PDF","https://archives.bukkyo-u.ac.jp/rp-contents/SO/0073/SO00730L113.pdf"
"15","中国社会学 / Chinese sociology","涂尔干与社会学论文群","Hu’s Durkheim and foundational sociology writings","1930–1932","B/C","Includes essays on Durkheim, primitive society and foundations of sociology; verify issue/page data against original journals.","Original-journal index reconstruction","https://archives.bukkyo-u.ac.jp/rp-contents/SO/0073/SO00730L113.pdf"
"15","中国社会学 / Chinese sociology","涂尔干与社会学论文群","Hu’s Durkheim and foundational sociology writings","1930–1932","B/C","Includes essays on Durkheim, primitive society and foundations of sociology; verify issue/page data against original journals.","French historiographic study","https://journals.openedition.org/assr/24157?lang=fr"
"16","中国社会学 / Chinese sociology","南京大学社会学史资料","Modern Nanjing sociology history","Modern","C","A secondary chronology associating Hu with Strasbourg in 1931, not a contemporary degree record.","NJU research PDF","https://sociology.nju.edu.cn/_upload/article/files/c3/d0/2d63ff324049b24a2a901f58186d/ad1423da-9d28-47f2-94a2-dbeaa938102b.pdf"
"17","比利时史料 / Belgian records","1933《留比同学录》","1933 Chinese-student roster in Belgium","1933","A","The original roster lists 胡鑑民 / HU KIEN MING, Kiangsu, Univ. Bruxelles. No degree is specified.","NLC scan on Wikimedia Commons","https://commons.wikimedia.org/wiki/File:NLC416-08jh003843-21598_%E7%95%99%E6%AF%94%E5%90%8C%E5%AD%B8%E9%8C%84.pdf"
"18","比利时史料 / Belgian records","1935《留比学生名录》","Separate 1935 Belgium student roster","1935","B","A distinct contemporary snapshot; Hu’s name and status in this particular publication are not yet checked.","Recent archival study","https://uplopen.com/en/chapters/e/10.1515/9783111374437-007"
"19","比利时史料 / Belgian records","1935中比庚款学生人名学历表","1935 scholarship/student table","1935","B","A bounded route to scholarship evidence, not an exhaustive Belgium student register.","Academia Historica catalogue","https://ahonline.drnh.gov.tw/"
"19","比利时史料 / Belgian records","1935中比庚款学生人名学历表","1935 scholarship/student table","1935","B","A bounded route to scholarship evidence, not an exhaustive Belgium student register.","Archival study","https://uplopen.com/en/chapters/e/10.1515/9783111374437-007"
"20","比利时史料 / Belgian records","ULB社会政治科学学校、索尔维研究所","ULB school and Solvay institute","1920s","B","Separate institutional units: neither should be equated automatically with Hu’s 1929 比京社会学院 self-description.","ULB School archive","https://catalogue.archives.ulb.be/index.php/ecole-des-sciences-politiques-et-sociales-2"
"20","比利时史料 / Belgian records","ULB社会政治科学学校、索尔维研究所","ULB school and Solvay institute","1920s","B","Separate institutional units: neither should be equated automatically with Hu’s 1929 比京社会学院 self-description.","Solvay archive","https://catalogue.archives.ulb.be/index.php/institut-de-sociologie-de-luniversite-libre-de-bruxelles"
"21","比利时史料 / Belgian records","比利时高等研究院与齐尔","Institut des Hautes Études de Belgique","1926–1929","B","A Gille teaching node with programme and attendance-record leads; no exact 1926 Hu course-registration record yet.","IHEB institutional history","https://iheb.ulb.be/historique/"
"21","比利时史料 / Belgian records","比利时高等研究院与齐尔","Institut des Hautes Études de Belgique","1926–1929","B","A Gille teaching node with programme and attendance-record leads; no exact 1926 Hu course-registration record yet.","ULB archival catalogue","https://catalogue.archives.ulb.be/"
"22","比利时史料 / Belgian records","国史馆中比庚款档案","Academia Historica Sino-Belgian commission records","1928–1937","B","Catalogue files 020-040203-0001, -0002, -0003, -0004 and -0009 cover funding, correspondence, complaints and minutes.","Online catalogue","https://ahonline.drnh.gov.tw/"
"23","比利时史料 / Belgian records","CISB/IBHEC学生档案","Individual Chinese-student dossiers in Belgium","1927–1930s","B","A personal-file retrieval route distinct from public printed rosters; Hu’s specific dossier remains to be located.","Chinese Institute collection","https://chinese-institute.be/fr/collection-de-livre"
"23","比利时史料 / Belgian records","CISB/IBHEC学生档案","Individual Chinese-student dossiers in Belgium","1927–1930s","B","A personal-file retrieval route distinct from public printed rosters; Hu’s specific dossier remains to be located.","Belgian historical article","https://www.journalbelgianhistory.be/nl/system/files/article_pdf/BTNG-RBHC%2C%2038%2C%202008%2C%201-2%2C%20pp%205-44.pdf"
"24","法国学籍 / French university records","袁同礼留欧博士论文总目","Yuan T’ung-li dissertation guide","1907–1962","B/N","No Hu match under currently controlled forms; this bounded catalogue negative is not proof that no university doctorate existed.","Digitized source","https://commons.wikimedia.org/wiki/File:A_Guide_to_Doctoral_Dissertations_by_Chinese_Students_in_Continental_Europe_1907-1962.pdf"
"25","法国学籍 / French university records","斯特拉斯堡大学学籍与文凭","Strasbourg registrar and degree archives","1919–1939","B","Search 154 AL (Letters), 156 AL (diplomas), 1045 W (rectoral records); person-level documentation remains unrecovered.","University archive service","https://vieetudiante.unistra.fr/fr/entites/service/service-des-archives"
"25","法国学籍 / French university records","斯特拉斯堡大学学籍与文凭","Strasbourg registrar and degree archives","1919–1939","B","Search 154 AL (Letters), 156 AL (diplomas), 1045 W (rectoral records); person-level documentation remains unrecovered.","Numistral matriculation","https://www.numistral.fr/fr/registres-matricules-de-luniversite-de-strasbourg"
"25","法国学籍 / French university records","斯特拉斯堡大学学籍与文凭","Strasbourg registrar and degree archives","1919–1939","B","Search 154 AL (Letters), 156 AL (diplomas), 1045 W (rectoral records); person-level documentation remains unrecovered.","Numistral theses","https://www.numistral.fr/fr/theses-de-luniversite-de-strasbourg"
"26","法国学籍 / French university records","斯特拉斯堡Doctorat d’Université","University doctorate, distinct from state doctorate","c.1930","B","The Faculty of Letters awarded Doctorat d’Université in this period; its existence alone does not establish Hu’s qualification.","Strasbourg period student-guide catalogue","https://www.mediatheques.strasbourg.eu/doc/IGUANA_2/784473/livret-guide-de-l-etudiant"
"27","法国学籍 / French university records","里昂中法大学完整学生名录","Lyon IFCL exhaustive student roster","1920s–1930s","B/N","No match under Hu’s controlled identity forms; this does not rule out direct study elsewhere in Lyon.","Bibliothèque municipale de Lyon","https://www.bm-lyon.fr/"
"28","法国学籍 / French university records","褚民谊斯特拉斯堡论文","Chu Minyi’s Strasbourg degree as a comparison","1924","B","A separate person-level precedent, not documentary evidence that Chu referred Hu or that Hu held a degree.","BnF Chu authority","https://data.bnf.fr/ark:/12148/cb10624521x"
"28","法国学籍 / French university records","褚民谊斯特拉斯堡论文","Chu Minyi’s Strasbourg degree as a comparison","1924","B","A separate person-level precedent, not documentary evidence that Chu referred Hu or that Hu held a degree.","Historical thesis bibliography","https://www.bnasie.eu/Asset/Source/bnBook_ID-2725_No-01.pdf"
"29","羌族研究与接受 / Qiang studies and reception","胡鉴民羌族信仰研究","Hu’s study of Qiang religion","1941","B","Later bibliography confirms a Chinese fieldwork publication, subsequently translated for HRAF by John T. Ma.","Huber bibliography","https://www.iaaw.hu-berlin.de/de/zentralasien/person/1509750/artikel-huber/huber_2015_an-obscure-word.pdf"
"30","羌族研究与接受 / Qiang studies and reception","葛维汉对胡羌族材料的使用","Graham’s substantive reuse of Hu","1958","B","Graham cites Hu’s Qiang material in The Customs and Religion of the Ch’iang.","Smithsonian digital monograph","https://repository.si.edu/bitstream/handle/10088/22946/SMC_135_Graham_1958_1_1-110.pdf"
"31","羌族研究与接受 / Qiang studies and reception","HRAF英译及欧洲学术后续引用","HRAF translation and later European reception","post-1941","B/C","John T. Ma’s HRAF translation and later European usage are documented in published references; check the original HRAF accession separately.","Huber 2015","https://www.iaaw.hu-berlin.de/de/zentralasien/person/1509750/artikel-huber/huber_2015_an-obscure-word.pdf"
"31","羌族研究与接受 / Qiang studies and reception","HRAF英译及欧洲学术后续引用","HRAF translation and later European reception","post-1941","B/C","John T. Ma’s HRAF translation and later European usage are documented in published references; check the original HRAF accession separately.","Shaman journal reprint","https://www.isars.org/wp-content/uploads/2020/12/ShamanVol11_2003_Reprint2013_dld.pdf"
"32","羌族研究与接受 / Qiang studies and reception","中比学生及相关思想网络的近年研究","Recent archival studies of Sino-Belgian students","2024–2025","C","Background for institutional distinctions and the provenance of student lists; not a replacement for Hu’s individual dossier.","2024 article","https://www.mdpi.com/2077-1444/15/3/327"
"32","羌族研究与接受 / Qiang studies and reception","中比学生及相关思想网络的近年研究","Recent archival studies of Sino-Belgian students","2024–2025","C","Background for institutional distinctions and the provenance of student lists; not a replacement for Hu’s individual dossier.","2025 open chapter","https://www.degruyterbrill.com/document/doi/10.1515/9783111374437-007/html"
